Date,Open,High,Low,Close,Volume,Adj Close
2016-09-09,170.830002,172.419998,168.509995,168.570007,3360200,168.570007
2016-09-08,169.350006,171.880005,168.710007,171.660004,3031600,171.660004
2016-09-07,168.699997,170.210007,168.649994,169.669998,1584300,169.669998
2016-09-06,168.720001,169.789993,167.470001,169.330002,2034900,169.330002
2016-09-02,168.520004,169.740005,167.899994,169.179993,1747500,169.179993
2016-09-01,170.00,170.070007,166.660004,168.509995,2843300,168.509995
2016-08-31,169.25,170.240005,167.470001,169.460007,3688200,169.460007
2016-08-30,166.220001,169.509995,166.220001,169.369995,2934100,169.369995
2016-08-29,166.600006,167.860001,166.149994,166.869995,2620900,166.219999
2016-08-26,166.759995,168.070007,165.360001,165.970001,2402200,165.323511
2016-08-25,165.080002,166.039993,164.610001,165.899994,1441400,165.253776
2016-08-24,165.779999,166.699997,164.850006,165.300003,2035300,164.656123
2016-08-23,167.00,167.850006,165.979996,166.080002,1965500,165.433083
2016-08-22,166.00,166.910004,164.889999,166.259995,1448100,165.612375
2016-08-19,165.360001,166.899994,164.50,166.229996,1840900,165.582493
2016-08-18,165.339996,166.559998,164.630005,166.059998,1750500,165.413157
2016-08-17,165.940002,166.320007,164.740005,165.669998,2061700,165.024677
2016-08-16,164.990005,166.759995,164.720001,165.649994,2523800,165.00475
2016-08-15,163.869995,165.839996,163.800003,165.550003,2222200,164.905149
2016-08-12,162.669998,163.369995,162.070007,163.25,1440800,162.614105
2016-08-11,162.199997,164.25,161.929993,163.860001,1827700,163.221729
2016-08-10,163.449997,163.600006,162.009995,162.190002,1656100,161.558236
2016-08-09,162.50,164.580002,162.50,163.440002,1957400,162.803367
2016-08-08,162.100006,163.979996,162.009995,162.830002,2266600,162.195743
2016-08-05,159.75,162.130005,159.199997,162.089996,2676100,161.45862
2016-08-04,158.220001,158.899994,157.410004,158.050003,2005700,157.434363
2016-08-03,156.449997,158.949997,156.179993,158.339996,2284700,157.723227
2016-08-02,157.649994,158.460007,155.369995,156.059998,3182800,155.452109
2016-08-01,158.809998,159.919998,157.929993,158.179993,2316300,157.563846
2016-07-29,159.509995,160.190002,158.649994,158.809998,2388200,158.191397
2016-07-28,160.179993,160.960007,158.839996,160.529999,2047400,159.904699
2016-07-27,161.199997,162.169998,160.410004,160.990005,2317200,160.362913
2016-07-26,160.679993,161.50,159.419998,161.160004,2150100,160.532249
2016-07-25,159.639999,161.330002,159.610001,160.509995,1956100,159.884772
2016-07-22,160.289993,160.729996,159.860001,160.410004,1811700,159.785171
2016-07-21,161.710007,161.899994,159.770004,160.050003,2855500,159.426573
2016-07-20,162.550003,162.889999,159.220001,161.770004,3547800,161.139874
2016-07-19,162.020004,164.080002,160.729996,161.410004,5399700,160.781276
2016-07-18,162.360001,164.089996,162.009995,163.330002,4734500,162.693795
2016-07-15,162.860001,163.139999,160.699997,161.639999,3078400,161.010376
2016-07-14,160.289993,163.240005,160.009995,162.539993,5087700,161.906864
2016-07-13,157.00,158.270004,156.149994,157.919998,4276400,157.304865
2016-07-12,154.00,157.25,153.919998,156.919998,5110800,156.30876
2016-07-11,151.490005,152.979996,151.380005,152.190002,3041600,151.597188
2016-07-08,149.360001,150.919998,148.309998,150.380005,3281400,149.794241
2016-07-07,146.00,148.089996,145.360001,147.00,2578300,146.427402
2016-07-06,142.940002,145.940002,142.619995,145.580002,2941800,145.012935
2016-07-05,146.720001,146.940002,143.330002,144.449997,3943000,143.887332
2016-07-01,148.490005,150.699997,148.070007,148.25,3096800,147.672533
2016-06-30,146.669998,148.880005,145.369995,148.580002,4528600,148.00125
2016-06-29,143.600006,145.550003,142.929993,145.50,3804100,144.933245
2016-06-28,142.210007,142.619995,139.820007,142.410004,5041500,141.855285
2016-06-27,140.070007,141.229996,138.199997,139.509995,7381000,138.966572
2016-06-24,143.029999,146.419998,140.919998,141.860001,9442200,141.307424
2016-06-23,150.559998,152.800003,150.139999,152.660004,2940500,152.065359
2016-06-22,148.009995,150.119995,147.990005,148.139999,2487600,147.562961
2016-06-21,148.50,148.830002,147.119995,148.350006,2424600,147.77215
2016-06-20,148.50,150.50,147.580002,147.75,3338900,147.174481
2016-06-17,146.630005,148.229996,145.460007,145.639999,4296500,145.072699
2016-06-16,145.00,146.990005,143.529999,146.630005,3499200,146.058848
2016-06-15,147.160004,148.699997,145.899994,146.160004,2981400,145.590678
2016-06-14,148.220001,149.050003,145.449997,146.190002,5069600,145.62056
2016-06-13,149.00,151.320007,148.589996,148.630005,3385800,148.051058
2016-06-10,151.350006,151.660004,149.570007,149.889999,4335700,149.306144
2016-06-09,153.789993,154.289993,152.460007,153.169998,2711700,152.573367
2016-06-08,155.199997,156.580002,153.910004,154.639999,2426800,154.037642
2016-06-07,157.199997,157.470001,155.169998,155.169998,2489700,154.565576
2016-06-06,156.25,157.910004,155.770004,157.059998,2540400,156.448214
2016-06-03,155.860001,156.539993,153.860001,155.669998,4329300,155.063629
2016-06-02,160.139999,160.330002,158.460007,159.279999,2257100,158.659568
2016-06-01,157.899994,160.550003,156.00,159.970001,2581600,159.346882
2016-05-31,160.399994,161.649994,158.550003,159.479996,2916100,158.858786
2016-05-27,158.699997,160.399994,158.320007,159.529999,2157000,158.908594
2016-05-26,161.160004,161.330002,159.169998,159.220001,2576100,157.952331
2016-05-25,158.059998,162.289993,158.029999,161.25,3259900,159.966168
